timestamp,ema50_dist_trx_usd_6h,ema200_dist_trx_usd_6h,upper_bb_dist_trx_usd_6h,lower_bb_dist_trx_usd_6h,width_bb_trx_usd_6h,rsi_trx_usd_6h,stoch_rsi_fastk_trx_usd_6h,stoch_rsi_fastd_trx_usd_6h,kijun_dist_trx_usd_6h,tenkan_dist_trx_usd_6h
2018-06-06 20:00:00,,,,,,,,,-54.03,-54.77
2018-06-07 02:00:00,,,,,,,,,-54.58,-55.31
2018-06-07 08:00:00,,,,,,,,,-53.99,-54.73
2018-06-07 14:00:00,,,,,,,,,-53.77,-54.52
2018-06-07 20:00:00,,,,,,,,,-53.62,-54.36
2018-06-08 02:00:00,,,,,,,,,-52.39,-53.16
2018-06-08 08:00:00,,,,,,,,,-52.1,-52.87
2018-06-08 14:00:00,,,,,,,,,-53.04,-53.8
2018-06-08 20:00:00,,,,,,,,,-52.81,-53.57
2018-06-09 02:00:00,,,,,,,,,-53.61,-54.36
2018-06-09 08:00:00,,,,,,,,,-53.5,-54.25
2018-06-09 14:00:00,,,,,,,,,-52.67,-53.43
2018-06-09 20:00:00,,,,,,,,,-52.28,-53.05
2018-06-10 02:00:00,,,,,,,,,-50.1,-50.9
2018-06-10 08:00:00,,,,,,24.86,,,-49.04,-49.86
2018-06-10 14:00:00,,,,,,17.3,,,-44.15,-45.05
2018-06-10 20:00:00,,,,,,15.88,,,-42.65,-43.57
2018-06-11 02:00:00,,,,,,15.19,,,-41.84,-42.78
2018-06-11 08:00:00,,,,,,22.19,,,-43.37,-44.28
2018-06-11 14:00:00,,,41.17,-0.23,34.36,19.06,,,-40.49,-41.45
2018-06-11 20:00:00,,,32.92,-7.23,35.58,30.83,100.0,75.91,-43.7,-44.61
2018-06-12 02:00:00,,,35.91,-6.31,36.78,28.46,84.86,80.08,-42.04,-42.97
2018-06-12 08:00:00,,,35.25,-7.71,37.76,28.26,78.17,87.68,-41.89,-42.83
2018-06-12 14:00:00,,,37.38,-7.32,38.87,26.43,62.66,75.23,-40.52,-41.47
2018-06-12 20:00:00,,,42.17,-5.71,40.5,23.61,0.0,46.94,-37.99,-38.99
2018-06-13 02:00:00,,,43.2,-6.86,42.36,22.81,0.0,20.89,-37.19,-38.19
2018-06-13 08:00:00,,,52.46,-4.03,45.48,19.37,0.0,-0.0,-32.91,-33.99
2018-06-13 14:00:00,,,52.63,-5.88,47.42,18.88,0.0,-0.0,-32.16,-33.25
2018-06-13 20:00:00,,,46.89,-9.87,47.9,23.35,94.51,31.5,-33.72,-34.79
2018-06-14 02:00:00,,,39.4,-12.78,46.06,28.55,100.0,64.84,-35.54,-36.58
2018-06-14 08:00:00,,,28.05,-16.53,42.15,37.79,100.0,98.17,-38.95,-39.93
2018-06-14 14:00:00,,,24.29,-15.18,37.75,37.54,98.71,99.57,-38.8,-39.78
2018-06-14 20:00:00,,,18.06,-14.47,31.95,39.89,100.0,99.57,-39.64,-40.61
2018-06-15 02:00:00,,,14.3,-13.04,27.16,40.11,100.0,99.57,-39.71,-40.68
2018-06-15 08:00:00,,,13.05,-9.48,22.14,37.56,0.88,66.96,-38.4,-39.39
2018-06-15 14:00:00,,,11.97,-9.22,20.91,37.43,0.0,33.63,-38.33,-39.32
2018-06-15 20:00:00,,,15.22,-6.33,20.63,33.53,0.0,0.29,-36.11,-37.14
2018-06-16 02:00:00,,,12.93,-7.87,20.29,36.43,44.14,14.71,-37.03,-38.04
2018-06-16 08:00:00,,,12.58,-6.98,19.02,35.45,47.61,30.58,-36.49,-37.51
2018-06-16 14:00:00,,,11.36,-7.79,18.82,36.95,87.53,59.76,-36.93,-37.95
2018-06-16 20:00:00,,,9.44,-7.27,16.53,37.18,100.0,78.38,-37.0,-38.01
2018-06-17 02:00:00,,,8.63,-6.63,15.11,36.66,70.33,85.95,-36.77,-37.78
2018-06-17 08:00:00,,,7.14,-6.31,13.39,37.05,92.87,87.74,-36.86,-37.88
2018-06-17 14:00:00,,,6.69,-5.74,12.38,36.44,0.0,54.4,-36.62,-37.64
2018-06-17 20:00:00,,,7.58,-4.94,12.35,34.84,0.0,30.96,-35.98,-37.01
2018-06-18 02:00:00,,,8.59,-4.2,12.51,33.28,0.0,-0.0,-35.34,-36.38
2018-06-18 08:00:00,,,10.52,-1.96,11.97,30.47,0.0,-0.0,-34.08,-35.13
2018-06-18 14:00:00,,,1.09,-9.35,10.89,51.61,100.0,33.33,-39.75,-40.71
2018-06-18 20:00:00,,,1.11,-8.93,10.45,52.08,100.0,66.67,-39.9,-40.87
2018-06-19 02:00:00,7.62,,2.34,-7.75,10.38,50.16,91.13,97.04,-39.33,-40.3
2018-06-19 08:00:00,0.11,,-2.89,-15.34,13.7,62.06,100.0,97.04,-43.56,-44.47
2018-06-19 14:00:00,0.07,,-1.38,-16.14,16.18,62.12,100.0,97.04,-43.59,-44.49
2018-06-19 20:00:00,-3.27,,-2.64,-20.23,19.86,66.84,100.0,100.0,-45.54,-46.42
2018-06-20 02:00:00,4.59,,5.7,-13.62,20.12,51.52,8.13,69.38,-41.01,-41.96
2018-06-20 08:00:00,2.07,,3.94,-15.69,20.85,54.73,20.94,43.02,-42.39,-43.31
2018-06-20 14:00:00,-2.14,,1.01,-19.63,22.76,60.08,55.9,28.32,-44.81,-45.7
2018-06-20 20:00:00,-3.1,,1.35,-20.53,24.2,61.39,64.43,47.09,-45.42,-46.3
2018-06-21 02:00:00,-3.21,,2.43,-20.7,25.45,61.7,100.0,73.44,-45.56,-46.43
2018-06-21 08:00:00,-0.62,,5.82,-18.09,25.47,56.71,28.42,64.28,-44.12,-45.02
2018-06-21 14:00:00,0.03,,7.03,-16.98,25.27,55.51,0.0,42.81,-43.75,-44.65
2018-06-21 20:00:00,-1.14,,6.3,-17.39,25.08,57.33,29.42,19.28,-44.44,-45.33
2018-06-22 02:00:00,1.54,,9.39,-14.26,24.24,52.24,0.0,9.81,-42.9,-43.81
2018-06-22 08:00:00,6.73,,15.11,-9.0,23.4,44.42,0.0,9.81,-39.82,-40.79
2018-06-22 14:00:00,12.49,,21.92,-3.76,23.54,38.1,0.0,-0.0,-36.29,-37.31
2018-06-22 20:00:00,12.23,,22.15,-3.51,23.47,37.89,0.0,-0.0,-36.15,-37.18
2018-06-23 02:00:00,10.72,,20.76,-3.99,22.84,39.51,11.32,3.77,-36.76,-37.78
2018-06-23 08:00:00,8.02,,17.5,-4.76,20.93,43.19,81.24,30.85,-38.12,-39.11
2018-06-23 14:00:00,7.92,,17.86,-4.97,21.45,42.92,94.93,62.49,-37.99,-38.99
2018-06-23 20:00:00,7.27,,17.57,-5.65,21.91,43.51,100.0,92.05,-38.19,-39.18
2018-06-24 02:00:00,16.36,,29.31,0.76,24.82,33.72,0.0,64.98,-32.57,-33.65
2018-06-24 08:00:00,15.44,,29.24,-1.66,27.15,34.15,4.45,34.82,-32.73,-33.81
2018-06-24 14:00:00,9.95,,23.12,-6.96,27.83,41.82,82.72,29.06,-35.7,-36.73
2018-06-24 20:00:00,9.72,,22.07,-7.4,27.45,41.64,80.88,56.02,-35.6,-36.63
2018-06-25 02:00:00,11.19,,24.14,-6.83,28.5,39.56,72.14,78.58,-34.47,-35.52
2018-06-25 08:00:00,6.64,,18.85,-10.82,28.52,46.16,100.0,84.34,-36.99,-38.0
2018-06-25 14:00:00,8.89,,20.37,-8.95,27.74,43.02,52.39,74.84,-35.45,-36.48
2018-06-25 20:00:00,8.39,,18.29,-8.98,26.05,43.26,56.0,69.46,-35.54,-36.57
2018-06-26 02:00:00,10.04,,18.19,-6.97,23.82,40.81,18.97,42.45,-34.32,-35.37
2018-06-26 08:00:00,11.7,,18.62,-5.27,22.4,38.46,0.0,24.99,-33.04,-34.11
2018-06-26 14:00:00,14.23,,20.01,-2.97,21.17,35.4,0.0,6.32,-31.18,-32.28
2018-06-26 20:00:00,16.55,,20.4,-0.37,18.88,32.81,0.0,-0.0,-29.37,-30.5
2018-06-27 02:00:00,14.87,,16.84,-1.09,16.62,34.63,22.68,7.56,-30.02,-31.14
2018-06-27 08:00:00,14.94,,16.52,-1.21,16.47,34.0,21.07,14.58,-29.61,-30.74
2018-06-27 14:00:00,12.72,,14.64,-3.39,17.07,37.14,100.0,47.92,-30.65,-31.76
2018-06-27 20:00:00,12.68,,14.93,-3.7,17.64,36.61,87.71,69.59,-30.36,-31.48
2018-06-28 02:00:00,13.35,,15.8,-3.42,18.1,35.23,39.13,75.61,-29.6,-30.74
2018-06-28 08:00:00,11.92,,13.81,-4.47,17.46,37.21,100.0,75.61,-30.19,-31.31
2018-06-28 14:00:00,12.11,,13.35,-4.06,16.64,36.33,55.49,64.87,-29.76,-30.89
2018-06-28 20:00:00,17.45,,18.45,0.17,16.72,29.98,0.0,51.83,-25.97,-27.16
2018-06-29 02:00:00,18.25,,20.55,-0.19,18.82,28.68,0.0,18.5,-25.0,-26.2
2018-06-29 08:00:00,20.12,,23.93,0.06,21.31,26.58,0.0,-0.0,-23.29,-24.52
2018-06-29 14:00:00,18.51,,22.58,-2.04,22.32,28.36,18.26,6.09,-23.83,-25.06
2018-06-29 20:00:00,12.73,,16.16,-6.71,21.84,38.78,100.0,39.42,-27.21,-28.38
2018-06-30 02:00:00,7.82,,10.74,-10.47,21.19,46.75,100.0,72.75,-30.18,-31.3
2018-06-30 08:00:00,9.25,,10.76,-8.41,18.94,44.25,87.58,95.86,-29.01,-30.15
2018-06-30 14:00:00,10.33,,10.85,-6.86,17.37,42.26,75.56,87.71,-28.03,-29.19
2018-06-30 20:00:00,8.71,,7.89,-7.28,15.12,44.52,72.02,78.39,-28.86,-30.0
2018-07-01 02:00:00,10.17,,8.32,-5.26,13.37,41.91,0.0,49.19,-27.63,-28.79
2018-07-01 08:00:00,9.14,,6.61,-5.5,12.05,43.15,47.54,39.85,-28.06,-29.22
2018-07-01 14:00:00,10.46,,7.78,-4.08,11.64,40.67,0.0,15.85,-26.91,-28.08
2018-07-01 20:00:00,7.69,,5.28,-6.23,11.56,45.48,100.0,49.18,-28.54,-29.69
2018-07-02 02:00:00,9.32,,6.94,-4.58,11.39,42.43,36.64,45.55,-27.2,-28.37
2018-07-02 08:00:00,6.97,,4.77,-6.38,11.24,46.42,100.0,78.88,-28.58,-29.73
2018-07-02 14:00:00,2.02,,0.36,-10.83,11.81,54.91,100.0,78.88,-31.83,-32.92
2018-07-02 20:00:00,0.67,,-0.22,-12.36,12.96,57.02,100.0,100.0,-32.71,-33.79
2018-07-03 02:00:00,-0.58,,-0.41,-13.99,14.63,59.07,100.0,100.0,-33.57,-34.63
2018-07-03 08:00:00,2.4,,2.96,-11.4,14.99,52.65,49.24,83.08,-31.5,-32.6
2018-07-03 14:00:00,1.6,,2.66,-12.16,15.56,53.91,19.67,56.3,-32.0,-33.09
2018-07-03 20:00:00,4.5,,5.9,-9.1,15.24,48.26,0.0,22.97,-29.93,-31.06
2018-07-04 02:00:00,4.93,,6.49,-7.9,14.49,47.21,0.0,6.56,-29.51,-30.65
2018-07-04 08:00:00,3.9,,5.22,-7.39,12.75,48.88,24.87,8.29,-30.1,-31.22
2018-07-04 14:00:00,0.5,,1.75,-9.22,11.4,55.06,100.0,41.62,-32.37,-33.45
2018-07-04 20:00:00,2.25,,3.72,-7.12,11.03,51.35,52.72,59.2,-31.13,-32.23
2018-07-05 02:00:00,2.32,,3.98,-6.96,11.11,51.03,48.68,67.13,-31.02,-32.13
2018-07-05 08:00:00,1.07,,3.03,-7.94,11.25,53.39,72.99,58.13,-31.83,-32.93
2018-07-05 14:00:00,4.33,,6.5,-4.56,10.96,46.66,0.0,40.56,-29.52,-30.65
2018-07-05 20:00:00,4.46,,6.82,-4.2,10.88,46.1,0.0,24.33,-29.3,-30.44
2018-07-06 02:00:00,7.19,,9.95,-1.53,11.02,41.2,0.0,-0.0,-27.26,-28.43
2018-07-06 08:00:00,8.32,,11.69,-0.67,11.72,39.11,0.0,-0.0,-26.26,-27.45
2018-07-06 14:00:00,4.59,,7.88,-3.52,11.16,46.35,95.93,31.98,-28.67,-29.82
2018-07-06 20:00:00,6.11,,9.8,-2.12,11.48,43.51,60.81,52.25,-27.47,-28.63
2018-07-07 02:00:00,7.49,,11.68,-0.82,11.85,41.01,26.24,61.0,-26.31,-27.49
2018-07-07 08:00:00,6.6,,11.18,-1.8,12.41,42.32,44.32,43.79,-26.74,-27.91
2018-07-07 14:00:00,7.82,,12.72,-1.23,13.19,39.98,0.0,23.52,-25.68,-26.88
2018-07-07 20:00:00,2.79,,6.99,-5.69,12.6,49.88,100.0,48.11,-29.07,-30.21
2018-07-08 02:00:00,3.35,,6.71,-4.77,11.37,48.59,87.01,62.34,-28.59,-29.73
2018-07-08 08:00:00,4.27,,7.42,-3.89,11.12,46.62,67.05,84.68,-27.83,-28.99
2018-07-08 14:00:00,3.78,,6.45,-4.15,10.48,47.31,74.09,76.05,-28.06,-29.22
2018-07-08 20:00:00,3.96,,6.63,-3.98,10.47,46.65,1.09,47.41,-27.83,-28.99
2018-07-09 02:00:00,5.13,,7.96,-2.99,10.68,43.96,0.0,25.06,-26.87,-28.05
2018-07-09 08:00:00,5.74,,8.65,-2.57,10.88,42.36,0.0,0.36,-26.28,-27.47
2018-07-09 14:00:00,6.6,,8.85,-1.59,10.07,40.31,0.0,-0.0,-25.5,-26.69
2018-07-09 20:00:00,8.86,,11.17,0.09,10.49,36.08,0.0,-0.0,-23.67,-24.89
2018-07-10 02:00:00,10.15,,12.63,0.71,11.18,33.68,0.0,-0.0,-22.47,-23.71
2018-07-10 08:00:00,17.27,,21.23,5.08,14.27,25.87,0.0,-0.0,-16.96,-18.3
2018-07-10 14:00:00,14.79,,19.62,1.49,16.39,29.87,27.71,9.24,-18.29,-19.6
2018-07-10 20:00:00,13.52,,18.77,-0.55,17.71,31.46,54.73,27.48,-18.8,-20.11
2018-07-11 02:00:00,12.78,,18.65,-1.97,19.03,31.94,77.73,53.39,-18.95,-20.26
2018-07-11 08:00:00,12.34,,18.81,-3.01,20.22,31.87,98.83,77.1,-18.91,-20.21
2018-07-11 14:00:00,12.45,,19.0,-3.44,20.83,31.11,59.96,78.84,-18.46,-19.77
2018-07-11 20:00:00,10.78,,17.29,-5.21,21.21,34.48,100.0,86.27,-19.36,-20.65
2018-07-12 02:00:00,11.62,,18.45,-4.93,21.9,32.65,45.5,68.49,-18.4,-19.71
2018-07-12 08:00:00,15.39,,23.0,-2.65,23.29,27.58,0.0,48.5,-15.19,-16.55
2018-07-12 14:00:00,16.1,,24.47,-3.05,24.85,26.28,0.0,15.17,-14.18,-15.56
2018-07-12 20:00:00,14.09,,21.7,-4.96,24.6,30.04,45.88,15.29,-15.24,-16.6
2018-07-13 02:00:00,10.33,,16.7,-7.83,23.49,38.3,100.0,48.63,-17.72,-19.04
2018-07-13 08:00:00,9.33,,14.66,-8.3,22.25,39.78,100.0,81.96,-18.18,-19.49
2018-07-13 14:00:00,6.12,,9.98,-10.27,20.28,46.62,100.0,100.0,-20.39,-21.67
2018-07-13 20:00:00,8.98,,11.45,-7.04,18.1,41.15,67.0,89.0,-17.98,-19.3
2018-07-14 02:00:00,8.19,,9.22,-6.83,15.86,42.14,46.19,71.06,-18.32,-19.63
2018-07-14 08:00:00,8.76,,8.27,-5.32,13.4,40.62,12.3,41.83,-17.62,-18.94
2018-07-14 14:00:00,7.61,,5.54,-5.12,10.63,42.65,33.75,30.75,-18.25,-19.57
2018-07-14 20:00:00,6.5,,3.38,-5.17,8.63,44.75,100.0,48.68,-18.9,-20.2
2018-07-15 02:00:00,6.09,,2.23,-4.76,7.08,45.15,100.0,77.92,-19.02,-20.32
2018-07-15 08:00:00,2.15,,-0.62,-8.48,8.23,54.35,100.0,100.0,-21.96,-23.21
2018-07-15 14:00:00,3.31,,1.06,-7.41,8.75,51.16,72.75,90.92,-20.97,-22.24
2018-07-15 20:00:00,3.1,,1.34,-7.58,9.21,51.37,68.9,80.55,-21.04,-22.3
2018-07-16 02:00:00,2.9,,1.61,-7.72,9.62,51.56,69.59,70.41,-21.09,-22.36
2018-07-16 08:00:00,-3.05,,-2.54,-14.19,12.72,64.39,100.0,79.5,-25.76,-26.95
2018-07-16 14:00:00,-4.07,,-1.9,-16.05,15.54,66.38,100.0,89.86,-26.66,-27.84
2018-07-16 20:00:00,-5.23,,-1.48,-18.06,18.37,68.66,100.0,100.0,-27.72,-28.88
2018-07-17 02:00:00,-2.17,,2.52,-15.52,19.29,59.5,46.42,82.14,-25.45,-26.64
2018-07-17 08:00:00,-2.11,,3.14,-14.98,19.26,59.55,0.56,48.99,-25.47,-26.66
2018-07-17 14:00:00,-8.59,,-2.07,-20.99,21.39,70.46,100.0,48.99,-30.67,-31.79
2018-07-17 20:00:00,-9.87,,-1.76,-22.58,23.71,72.6,100.0,66.85,-31.94,-33.04
2018-07-18 02:00:00,-10.87,,-1.1,-24.19,26.43,74.37,100.0,100.0,-33.03,-34.11
2018-07-18 08:00:00,-8.81,,2.24,-22.53,27.57,68.77,62.24,87.41,-31.75,-32.85
2018-07-18 14:00:00,-15.26,,-2.59,-29.56,32.14,76.98,100.0,87.41,-37.05,-38.06
2018-07-18 20:00:00,-7.43,,6.89,-22.48,31.85,59.32,0.0,54.08,-31.46,-32.56
2018-07-19 02:00:00,-3.89,,11.03,-18.58,30.77,54.03,0.0,33.33,-28.95,-30.1
2018-07-19 08:00:00,-5.3,,9.36,-18.64,29.36,56.02,8.67,2.89,-30.16,-31.28
2018-07-19 14:00:00,-2.8,,11.97,-15.22,27.64,52.47,0.0,2.89,-28.4,-29.55
2018-07-19 20:00:00,-2.6,,11.85,-13.75,25.85,52.33,0.0,2.89,-28.33,-29.48
2018-07-20 02:00:00,1.82,,16.53,-8.53,24.1,46.37,0.0,0.0,-25.02,-26.22
2018-07-20 08:00:00,0.22,,14.51,-9.23,23.13,48.55,22.58,7.53,-26.2,-27.38
2018-07-20 14:00:00,5.6,,20.78,-3.88,22.74,42.3,0.0,7.53,-22.07,-23.32
2018-07-20 20:00:00,5.66,,21.01,-3.4,22.44,42.01,0.0,7.53,-21.85,-23.1
2018-07-21 02:00:00,3.02,,17.85,-5.08,21.56,45.52,53.68,17.89,-23.71,-24.93
2018-07-21 08:00:00,4.74,,20.27,-4.01,22.46,43.35,20.51,24.73,-22.29,-23.54
2018-07-21 14:00:00,0.77,,15.74,-7.83,22.68,48.87,100.0,58.06,-25.22,-26.42
2018-07-21 20:00:00,2.39,,17.71,-6.78,23.22,46.69,68.24,62.92,-23.94,-25.16
2018-07-22 02:00:00,1.96,,17.34,-7.29,23.46,47.2,69.74,79.33,-24.2,-25.42
2018-07-22 08:00:00,1.7,,17.15,-7.64,23.66,47.49,74.95,70.98,-24.34,-25.55
2018-07-22 14:00:00,1.57,,16.61,-8.14,23.75,47.6,41.75,62.14,-24.39,-25.6
2018-07-22 20:00:00,3.59,,18.29,-6.73,23.65,44.38,0.0,38.9,-22.78,-24.02
2018-07-23 02:00:00,1.19,,14.26,-8.78,22.43,48.48,100.0,47.25,-24.53,-25.75
2018-07-23 08:00:00,4.34,,16.99,-6.16,21.96,43.62,0.0,33.33,-22.05,-23.3
2018-07-23 14:00:00,4.96,,13.3,-3.29,15.8,42.53,0.0,33.33,-21.43,-22.69
2018-07-23 20:00:00,6.37,,13.47,-1.78,14.4,40.39,0.0,0.0,-20.19,-21.47
2018-07-24 02:00:00,4.05,,10.24,-3.82,13.63,44.32,48.63,16.21,-21.8,-23.05
2018-07-24 08:00:00,2.11,,6.55,-4.81,11.27,47.67,100.0,49.54,-23.19,-24.43
2018-07-24 14:00:00,-3.67,,0.09,-10.18,10.81,57.26,100.0,82.88,-27.66,-28.82
2018-07-24 20:00:00,-4.73,,-1.11,-11.42,11.0,59.08,100.0,100.0,-28.6,-29.75
2018-07-25 02:00:00,-6.06,,-1.4,-13.58,13.16,61.38,100.0,100.0,-29.78,-30.9
2018-07-25 08:00:00,-1.33,,3.52,-9.29,13.18,52.31,33.81,77.94,-26.28,-27.47
2018-07-25 14:00:00,-2.27,,2.86,-10.02,13.36,53.86,17.16,50.33,-27.05,-28.23
2018-07-25 20:00:00,-1.72,,3.65,-9.24,13.26,52.98,7.48,19.49,-26.69,-27.87
2018-07-26 02:00:00,-2.85,,2.8,-10.35,13.66,55.04,30.17,18.27,-27.63,-28.79
2018-07-26 08:00:00,-3.62,,2.37,-10.95,13.91,56.57,100.0,45.88,-28.31,-29.46
2018-07-26 14:00:00,-3.35,7.84,2.95,-10.87,14.39,56.28,91.93,74.03,-28.21,-29.37
2018-07-26 20:00:00,1.89,13.63,8.61,-5.93,14.35,46.24,0.0,63.98,-24.26,-25.48
2018-07-27 02:00:00,0.71,12.23,7.42,-6.9,14.28,48.3,19.99,37.31,-25.12,-26.32
2018-07-27 08:00:00,1.7,13.27,8.54,-5.93,14.28,46.54,2.9,7.63,-24.33,-25.55
2018-07-27 14:00:00,-0.5,10.7,6.27,-7.86,14.24,50.66,44.03,22.31,-25.98,-27.17
2018-07-27 20:00:00,-0.48,10.59,6.32,-7.49,13.88,50.66,100.0,48.98,-25.98,-27.17
2018-07-28 02:00:00,-0.3,10.67,6.56,-7.22,13.82,50.31,91.52,78.52,-25.85,-27.05
2018-07-28 08:00:00,0.2,11.12,7.0,-6.2,13.15,49.21,64.91,85.48,-25.48,-26.67
2018-07-28 14:00:00,0.12,10.93,6.68,-5.5,12.11,49.38,11.93,56.12,-25.53,-26.73
2018-07-28 20:00:00,-1.24,9.27,4.59,-5.46,10.09,52.74,100.0,58.95,-26.58,-27.76
2018-07-29 02:00:00,-2.21,8.02,3.14,-5.42,8.66,55.17,100.0,70.64,-27.37,-28.54
